image_hex_string	actual	base_prediction	corrupting_pixels
0x8000003000003c00001f00001fc00003e00000000000000000004000000600000078000000c000000c000000c00000080000008000001800000180000030000002000000000000000000	5	5	(8, 2);(9, 2);(10, 2);(11, 2);(7, 3);(8, 3);(9, 3);(10, 3);(11, 3);(12, 3);(13, 3);(9, 4);(10, 4);(11, 4);(12, 4);(17, 4);(18, 4);(9, 5);(10, 5);(11, 5);(17, 5);(18, 5);(9, 6);(10, 6);(11, 6);(18, 6);(9, 7);(10, 7);(11, 7);(18, 7);(9, 8);(10, 8);(11, 8);(18, 8);(9, 9);(10, 9);(11, 9);(14, 9);(15, 9);(16, 9);(9, 10);(10, 10);(15, 10);(16, 10);(16, 11);(19, 11);(20, 11);(3, 12);(16, 12);(17, 12);(3, 13);(4, 13);(12, 14);(13, 14);(15, 14);(16, 14);(11, 15);(12, 15);(13, 15);(14, 15);(15, 15);(16, 15);(25, 15);(9, 16);(11, 16);(12, 16);(13, 16);(14, 16);(15, 16);(16, 16);(24, 16);(25, 16);(26, 16);(7, 17);(9, 17);(11, 17);(12, 17);(13, 17);(14, 17);(15, 17);(16, 17);(17, 17);(24, 17);(25, 17);(7, 18);(10, 18);(11, 18);(12, 18);(13, 18);(14, 18);(15, 18);(16, 18);(17, 18);(24, 18);(25, 18);(26, 18);(7, 19);(9, 19);(11, 19);(12, 19);(13, 19);(14, 19);(15, 19);(16, 19);(17, 19);(24, 19);(25, 19);(8, 20);(11, 20);(12, 20);(13, 20);(14, 20);(15, 20);(16, 20);(17, 20);(18, 20);(8, 21);(11, 21);(12, 21);(13, 21);(14, 21);(15, 21);(16, 21);(17, 21);(18, 21);(25, 21);(7, 22);(11, 22);(12, 22);(13, 22);(14, 22);(15, 22);(16, 22);(17, 22);(7, 23);(11, 23);(12, 23);(13, 23);(14, 23);(15, 23);(16, 23);(17, 23);(18, 23);(12, 24);(13, 24);(14, 24);(15, 24);(16, 24);(17, 24);(13, 25);(14, 25);(15, 25);(16, 25);(17, 25)
0x3f0000027e00006000000600000040000006000000608000060c00002080000318000019800001f8000005800000080000008000001800000180000008000000800000080000000000000000	9	9	(20, 9);(19, 11);(20, 11);(14, 12);(19, 12);(7, 14);(21, 17);(21, 18);(20, 19);(21, 19)
0x7f00000ff00001ff00001e780003c780001df00001ff000007f000003e000003c000007c00000f000001e000003e000007c00000f800000f000001f000001e000001c000000000000000000	9	9	(9, 7);(9, 8);(9, 9);(9, 10);(12, 12);(13, 13);(12, 14);(13, 14);(12, 15);(13, 15)
0xe00000326000060c000040800004180001830000107000020c000023800003f800001380000030000006000000c00000080000010000003000000600000040000000000000000000000000	9	9	(6, 17);(6, 18);(7, 18)
0x1ff00003878000700c001f000007fc0001faf0001c030000006000000e000003c00007f00003f80000000000000000000000000000000000000000000000000000	5	5	(5, 8);(6, 8);(5, 9);(6, 9);(7, 9);(5, 10);(6, 10);(7, 10);(4, 11);(5, 11);(6, 11);(7, 11);(4, 12);(5, 12);(6, 12);(7, 12);(4, 13);(5, 13);(6, 13);(7, 13);(5, 14);(6, 14);(7, 14);(5, 15);(6, 15);(7, 15);(12, 19);(13, 19);(9, 20)
0xf8000018c000020c000000c000000800000180000018000001800000100000030000002000000200000020000000000000400000040000004000000c000000c000000c00000000000000000	7	7	(21, 7);(21, 9);(21, 10);(22, 10);(12, 12);(12, 13);(20, 13)
0x1f000003fc000079e0000e060001c060001c0600018060001c070001c070000e1f00007ff00003f3000000300000030000c030000603000070700003fe00001fe000003c00000000000000000000000	9	9	(18, 8);(18, 9);(17, 10);(18, 10);(19, 10);(12, 11);(13, 11);(17, 11);(18, 11);(19, 11);(12, 12)
0x1c000001e000003600000730000063800006380000638000023800003f800003f8000005800000180000018000001c000001c000000c000000c000000e0000007800000780000000000000000000000	9	9	(15, 5);(4, 6);(4, 7);(15, 7);(4, 11);(7, 11);(8, 11);(6, 12);(6, 13);(7, 13);(18, 13);(19, 13);(6, 14);(7, 14);(8, 14);(18, 14);(19, 14);(8, 15);(14, 19);(15, 19);(16, 19);(14, 20);(15, 20);(13, 21);(14, 21);(15, 21);(16, 21);(13, 22);(14, 22);(15, 22);(16, 22);(13, 23);(14, 23);(15, 23);(16, 23);(14, 24);(15, 24)
0x1c000003c00000787800070f0000e180000c380001c300001c700001ff80001ffc0001ffe00008c600000c70000043000004300000630000033000003f000001f000000f00000000000000000000000	8	4	(7, 1);(18, 2);(18, 3);(17, 4);(18, 4);(17, 5);(18, 5);(19, 5);(20, 5);(21, 5);(17, 6);(18, 6);(19, 6);(20, 6);(21, 6);(10, 7);(13, 7);(14, 7);(15, 7);(16, 7);(17, 7);(18, 7);(19, 7);(20, 7);(21, 7);(8, 8);(12, 8);(13, 8);(14, 8);(15, 8);(17, 8);(18, 8);(19, 8);(20, 8);(21, 8);(14, 9);(15, 9);(17, 9);(18, 9);(19, 9);(20, 9);(21, 9);(13, 10);(14, 10);(15, 10);(17, 10);(18, 10);(19, 10);(20, 10);(21, 10);(11, 11);(12, 11);(14, 11);(15, 11);(17, 11);(18, 11);(19, 11);(20, 11);(21, 11);(22, 11);(23, 11);(24, 11);(3, 12);(8, 12);(10, 12);(11, 12);(12, 12);(14, 12);(15, 12);(18, 12);(19, 12);(20, 12);(21, 12);(22, 12);(23, 12);(4, 13);(7, 13);(8, 13);(9, 13);(10, 13);(11, 13);(21, 13);(22, 13);(23, 13);(24, 13);(4, 14);(5, 14);(6, 14);(7, 14);(8, 14);(9, 14);(10, 14);(11, 14);(12, 14);(16, 14);(17, 14);(23, 14);(3, 15);(4, 15);(5, 15);(6, 15);(7, 15);(8, 15);(9, 15);(10, 15);(11, 15);(12, 15);(13, 15);(5, 16);(6, 16);(7, 16);(9, 16);(10, 16);(13, 16);(14, 16);(21, 16);(3, 17);(6, 17);(14, 17);(17, 17);(21, 17);(2, 18);(3, 18);(16, 18);(17, 18);(18, 18);(23, 18);(24, 18);(2, 19);(3, 19);(17, 19);(23, 19);(24, 19);(8, 20);(9, 20);(10, 20);(17, 20);(18, 20);(19, 20);(20, 20);(6, 21);(7, 21);(8, 21);(9, 21);(10, 21);(17, 21);(18, 21);(19, 21);(20, 21);(6, 22);(7, 22);(8, 22);(9, 22);(10, 22);(18, 22);(19, 22);(20, 22);(7, 23);(8, 23);(9, 23);(10, 23);(7, 24);(8, 24);(9, 24);(10, 24);(7, 25);(8, 25);(9, 25);(9, 26)
0xe000001f8000019c000018c00000dc00000f8000007800000300000030000003000000300000030000006000000600000060000006000000600000060000007800000300000000000000000	9	7	(7, 11);(8, 11);(11, 11);(12, 11);(7, 12);(12, 12);(4, 13);(15, 13);(21, 15);(22, 15);(21, 16);(22, 16);(23, 16);(21, 17);(22, 17);(23, 17);(21, 18);(22, 18);(21, 19);(21, 20);(21, 21)
